title,text,target
"Feeling down","I've been feeling really sad lately and have no energy.",depression
"Anxious thoughts","My heart races and I can't stop worrying about everything.",anxiety
"Happy day","Today was great, I accomplished a lot and feel positive.",normal
"Depressed mood","I wake up every day feeling hopeless and unmotivated.",depression
"Panic attack","Suddenly my chest tightens and I feel like I can't breathe.",anxiety
"Good mood","I'm enjoying my hobbies and spending time with friends.",normal
"Suicidal thoughts","I sometimes think about ending it all when things get too hard.",depression
"Social anxiety","I avoid parties because I'm afraid people will judge me.",anxiety
"Content","I feel satisfied with my life and relationships.",normal
"Overwhelmed","I have too many responsibilities and feel stressed out.",anxiety
"Lonely","I feel isolated and miss having close friends.",depression
"Excited","I'm looking forward to my upcoming vacation.",normal
"Depression symptoms","I cry for no reason and feel worthless.",depression
"Worry","I'm constantly worried about my health.",anxiety
"Peaceful","Life is calm and I'm grateful for what I have.",normal
"Dark thoughts","I have thoughts of self-harm.",depression
"Fear of failure","I'm afraid to try new things because I might fail.",anxiety
"Happy","I had a great day at work.",normal
"Sadness","Everything feels gray and meaningless.",depression
"Nervous","My stomach is in knots before presentations.",anxiety
"Joyful","Spending time with family makes me happy.",normal
"Hopeless","I don't see a future for myself.",depression
"Restless","I can't sit still, always on edge.",anxiety
"Satisfied","I'm content with my achievements.",normal
"Despair","I feel like giving up.",depression
"Paranoia","I think people are talking about me.",anxiety
"Optimistic","Things are looking up.",normal
"Melancholy","I miss the good old days.",depression
"Tension","My muscles are always tight from stress.",anxiety
